Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.77      1.05     0.02   504824     0.00     0.00  NeuraTile::tick()
  1.77      1.07     0.02      160     0.13     0.13  std::_Rb_tree<long long, std::pair<long long const, CacheLine*>, std::_Select1st<std::pair<long long const, CacheLine*> >, std::less<long long>, std::allocator<std::pair<long long const, CacheLine*> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, CacheLine*> >*)
  1.77      1.09     0.02       19     1.05     1.05  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, int> >*)
  0.88      1.10     0.01  3843203     0.00     0.00  NeuraCore::process_hash_request(HashRequest*)
  0.88      1.11     0.01   388809     0.00     0.00  Cache::hit_routine(MemRequest*)
  0.88      1.12     0.01   114703     0.00     0.00  GlobalCounters::generate_hash_req_id()
  0.88      1.13     0.01        1    10.00    10.00  MemoryController::write_accessed_to_file()
  0.00      1.13     0.00 64417590     0.00     0.00  HashRequest::inc_reg_file_time()
  0.00      1.13     0.00  9779323     0.00     0.00  HashRequest::is_ready_to_process()
  0.00      1.13     0.00  6654012     0.00     0.00  NeuraCore::rf_responder()
  0.00      1.13     0.00  6425018     0.00     0.00  NeuraCore::tick()
  0.00      1.13     0.00  3857322     0.00     0.00  NeuraCore::process_pipelines()
  0.00      1.13     0.00  3754014     0.00     0.00  NeuraRouter::get_dest_port(int)
  0.00      1.13     0.00  3191217     0.00     0.00  HashRequest::is_all_ready()
  0.00      1.13     0.00  2699630     0.00     0.00  Cache::is_request_table_empty()
  0.00      1.13     0.00  1913141     0.00     0.00  MemRequest::get_src_address()
  0.00      1.13     0.00  1719819     0.00     0.00  GlobalCounters::get_cycle()
  0.00      1.13     0.00  1550803     0.00     0.00  InstX::InstX()
  0.00      1.13     0.00  1508370     0.00     0.00  InstX::get_type()
  0.00      1.13     0.00   727569     0.00     0.00  Writer::tick()
  0.00      1.13     0.00   716140     0.00     0.00  MemRequest::get_is_write()
  0.00      1.13     0.00   709059     0.00     0.00  InstX::~InstX()
  0.00      1.13     0.00   685821     0.00     0.00  MemRequest::get_dest_unit_uid()
  0.00      1.13     0.00   682985     0.00     0.00  MemRequest::MemRequest(GlobalCounters*, int, int, int, int, int, int, int, HashRequest*)
  0.00      1.13     0.00   675686     0.00     0.00  GlobalCounters::generate_mem_req_id()
  0.00      1.13     0.00   635758     0.00     0.00  MemResponse::get_dest_unit_uid()
  0.00      1.13     0.00   633792     0.00     0.00  Writer::get_next_response()
  0.00      1.13     0.00   630023     0.00     0.00  GlobalCounters::generate_mem_resp_id()
  0.00      1.13     0.00   617802     0.00     0.00  MemResponse::MemResponse(GlobalCounters*, int, int, int, int, int, int, long long, MemRequest*, HashRequest*)
  0.00      1.13     0.00   613006     0.00     0.00  MemRequest::get_id()
  0.00      1.13     0.00   610755     0.00     0.00  MemRequest::get_size()
  0.00      1.13     0.00   607445     0.00     0.00  GlobalCounters::set_sim_progress(int)
  0.00      1.13     0.00   607242     0.00     0.00  MemRequest::get_src_unit_uid()
  0.00      1.13     0.00   577424     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned long const, int> >, unsigned long const&)
  0.00      1.13     0.00   574718     0.00     0.00  MemRequest::get_address()
  0.00      1.13     0.00   569632     0.00     0.00  GlobalCounters::get_mem_id_array()
  0.00      1.13     0.00   560840     0.00     0.00  GlobalCounters::get_total_mems()
  0.00      1.13     0.00   549583     0.00     0.00  MemRequest::get_operand_id()
  0.00      1.13     0.00   549210     0.00     0.00  MemResponse::set_operand_id(int)
  0.00      1.13     0.00   543914     0.00     0.00  MemRequest::get_src_hash_req()
  0.00      1.13     0.00   540307     0.00     0.00  NeuraMem::generate_mem_response(MemRequest*, int)
  0.00      1.13     0.00   539439     0.00     0.00  MemRequest::get_req_type()
  0.00      1.13     0.00   529382     0.00     0.00  HashRequest::get_b_col_id()
  0.00      1.13     0.00   528430     0.00     0.00  MemResponse::~MemResponse()
  0.00      1.13     0.00   527995     0.00     0.00  MemResponse::get_operand_id()
  0.00      1.13     0.00   504824     0.00     0.00  GlobalCounters::tick()
  0.00      1.13     0.00   501792     0.00     0.00  NeuraDispatcher::tick()
  0.00      1.13     0.00   499738     0.00     0.00  MemRequest::get_payload()
  0.00      1.13     0.00   499205     0.00     0.00  MemRequest::set_operand_id(int)
  0.00      1.13     0.00   497442     0.00     0.00  NeuraCore::send_mem_request(MemRequest*)
  0.00      1.13     0.00   403571     0.00     0.00  NeuraMem::send_mem_resp(MemResponse*)
  0.00      1.13     0.00   394039     0.00     0.00  MemRequest::set_payload(int)
  0.00      1.13     0.00   370052     0.00     0.00  HashRequest::get_table_id()
  0.00      1.13     0.00   297089     0.00     0.00  MemResponse::get_src_address()
  0.00      1.13     0.00   238070     0.00     0.00  MemResponse::get_payload()
  0.00      1.13     0.00   219171     0.00     0.00  MemoryController::update_mem_req_map_and_add_transaction(MemRequest*)
  0.00      1.13     0.00   217942     0.00     0.00  HashRequest::get_count()
  0.00      1.13     0.00   214962     0.00     0.00  void std::vector<MemRequest*, std::allocator<MemRequest*> >::_M_realloc_insert<MemRequest* const&>(__gnu_cxx::__normal_iterator<MemRequest**, std::vector<MemRequest*, std::allocator<MemRequest*> > >, MemRequest* const&)
  0.00      1.13     0.00   199091     0.00     0.00  HashRequest::get_mult_result()
  0.00      1.13     0.00   195592     0.00     0.00  void std::deque<InstX*, std::allocator<InstX*> >::emplace_back<InstX*>(InstX*&&)
  0.00      1.13     0.00   179387     0.00     0.00  GlobalCounters::get_mc_id_array()
  0.00      1.13     0.00   177810     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > > >::erase(unsigned long const&)
  0.00      1.13     0.00   176761     0.00     0.00  MemRequest::~MemRequest()
  0.00      1.13     0.00   175931     0.00     0.00  HashRequest::set_b_col_id_ready()
  0.00      1.13     0.00   175845     0.00     0.00  HashRequest::set_b_data_ready()
  0.00      1.13     0.00   175599     0.00     0.00  HashRequest::set_a_data_ready()
  0.00      1.13     0.00   167597     0.00     0.00  void std::vector<InstX*, std::allocator<InstX*> >::emplace_back<InstX*>(InstX*&&)
  0.00      1.13     0.00   161519     0.00     0.00  void std::deque<InstX*, std::allocator<InstX*> >::_M_push_back_aux<InstX* const&>(InstX* const&)
  0.00      1.13     0.00   135451     0.00     0.00  HashResponse::get_dest_unit_uid()
  0.00      1.13     0.00   134094     0.00     0.00  GlobalCounters::get_writer_id_array()
  0.00      1.13     0.00   132640     0.00     0.00  GlobalCounters::generate_hash_resp_id()
  0.00      1.13     0.00   132355     0.00     0.00  HashResponse::HashResponse(GlobalCounters*, int, int, long long, long long, int, HashRequest*)
  0.00      1.13     0.00   132347     0.00     0.00  Cache::insert_in_request_table(MemRequest*)
  0.00      1.13     0.00   132258     0.00     0.00  Cache::miss_routine(MemRequest*)
  0.00      1.13     0.00   125823     0.00     0.00  MemoryController::tick()
  0.00      1.13     0.00   115953     0.00     0.00  NeuraDispatcher::send_hash_req(HashRequest*, int)
  0.00      1.13     0.00   114773     0.00     0.00  HashRequest::HashRequest(GlobalCounters*, int, int, long long, long long, long long, long long, long long)
  0.00      1.13     0.00   110880     0.00     0.00  Conn::interval_metrics()
  0.00      1.13     0.00   103876     0.00     0.00  Cache::remove_from_request_table(long long)
  0.00      1.13     0.00   101452     0.00     0.00  NeuraMem::send_mem_req(MemRequest*)
  0.00      1.13     0.00    99749     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >, std::less<long long>, std::allocator<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >, long long const&)
  0.00      1.13     0.00    99560     0.00     0.00  Cache::get_mem_req_list[abi:cxx11](long long)
  0.00      1.13     0.00    99427     0.00     0.00  NeuraMem::reply_multiple_mem_reqs(MemResponse*)
  0.00      1.13     0.00    98753     0.00     0.00  address_to_mc_id(GlobalCounters*, int)
  0.00      1.13     0.00    98748     0.00     0.00  GlobalCounters::get_total_mcs()
  0.00      1.13     0.00    97344     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, CacheLine*>, std::_Select1st<std::pair<long long const, CacheLine*> >, std::less<long long>, std::allocator<std::pair<long long const, CacheLine*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long long const, CacheLine*> >, long long const&)
  0.00      1.13     0.00    95698     0.00     0.00  CacheLine::CacheLine(int, long long, long long)
  0.00      1.13     0.00    93329     0.00     0.00  Cache::update_cache_table(MemResponse*)
  0.00      1.13     0.00    89077     0.00     0.00  Writer::send_write_request(MemRequest*)
  0.00      1.13     0.00    87125     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > >*)
  0.00      1.13     0.00    82510     0.00     0.00  HashResponse::get_table_id()
  0.00      1.13     0.00    81015     0.00     0.00  HashResponse::get_src_hash_req()
  0.00      1.13     0.00    80766     0.00     0.00  HashResponse::get_mult_result()
  0.00      1.13     0.00    66190     0.00     0.00  HashPad::check_eviction_condition(long long)
  0.00      1.13     0.00    65672     0.00     0.00  MemoryController::generate_memory_response(MemRequest*)
  0.00      1.13     0.00    65450     0.00     0.00  HashPad::decrement_count_map(long long)
  0.00      1.13     0.00    64516     0.00     0.00  HashPad::is_data_in_hash_table(long long)
  0.00      1.13     0.00    61561     0.00     0.00  HashRequest::set_dest_unit_uid(int)
  0.00      1.13     0.00    61468     0.00     0.00  HashRequest::get_dest_unit_uid()
  0.00      1.13     0.00    40899     0.00     0.00  HashLine::accumulate_data(int)
  0.00      1.13     0.00    40441     0.00     0.00  HashPad::hit_routine(HashRequest*)
  0.00      1.13     0.00    33768     0.00     0.00  bsoncxx::v_noabi::document::value bsoncxx::v_noabi::builder::basic::make_document<std::tuple<char const (&) [5], char const (&) [17]>, std::tuple<char const (&) [12], long&&>, std::tuple<char const (&) [21], long&&>, std::tuple<char const (&) [21], long&&> >(std::tuple<char const (&) [5], char const (&) [17]>&&, std::tuple<char const (&) [12], long&&>&&, std::tuple<char const (&) [21], long&&>&&, std::tuple<char const (&) [21], long&&>&&)
  0.00      1.13     0.00    24828     0.00     0.00  HashLine::HashLine(long long, int, long long)
  0.00      1.13     0.00    24697     0.00     0.00  HashPad::miss_routine(HashRequest*)
  0.00      1.13     0.00    24420     0.00     0.00  HashPad::evict_hash_line(long long)
  0.00      1.13     0.00    23618     0.00     0.00  NeuraMem::eviction_routine(HashRequest*)
  0.00      1.13     0.00    23417     0.00     0.00  GlobalCounters::get_total_writers()
  0.00      1.13     0.00    17776     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >, std::less<long long>, std::allocator<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >*)
  0.00      1.13     0.00    16128     0.00     0.00  NeuraRouter::interval_metrics()
  0.00      1.13     0.00    14787     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, long long>, std::_Select1st<std::pair<long long const, long long> >, std::less<long long>, std::allocator<std::pair<long long const, long long> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, long long> >*)
  0.00      1.13     0.00    14703     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, HashLine*>, std::_Select1st<std::pair<long long const, HashLine*> >, std::less<long long>, std::allocator<std::pair<long long const, HashLine*> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, HashLine*> >*)
  0.00      1.13     0.00    14350     0.00     0.00  HashPad::~HashPad()
  0.00      1.13     0.00    14153     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, HashPad*>, std::_Select1st<std::pair<long long const, HashPad*> >, std::less<long long>, std::allocator<std::pair<long long const, HashPad*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long long const, HashPad*> >, long long const&)
  0.00      1.13     0.00    13130     0.00     0.00  HashPad::custom_constructor(unsigned long, long long)
  0.00      1.13     0.00    13115     0.00     0.00  HashPad::HashPad()
  0.00      1.13     0.00     8064     0.00     0.00  NeuraMem::interval_metrics()
  0.00      1.13     0.00     8064     0.00     0.00  NeuraCore::interval_metrics()
  0.00      1.13     0.00     1008     0.00     0.00  Writer::interval_metrics()
  0.00      1.13     0.00      587     0.00     0.00  boost::optional_detail::optional_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::optional_base(boost::optional_detail::optional_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      1.13     0.00      583     0.00     0.00  Mongo::get_component_collection(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.13     0.00      576     0.00     0.00  std::_Deque_base<InstX*, std::allocator<InstX*> >::_M_initialize_map(unsigned long) [clone .constprop.129]
  0.00      1.13     0.00      545     0.00     0.23  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...) [clone .constprop.110]
  0.00      1.13     0.00      504     0.00     0.00  GlobalCounters::cycle_printer()
  0.00      1.13     0.00      504     0.00     0.00  GlobalCounters::print_sim_speed()
  0.00      1.13     0.00      504     0.00     0.00  GlobalCounters::interval_metrics()
  0.00      1.13     0.00      504     0.00     0.00  NeuraDispatcher::interval_metrics()
  0.00      1.13     0.00      504     0.00     0.00  MemoryController::interval_metrics()
  0.00      1.13     0.00      504     0.00     0.00  bsoncxx::v_noabi::document::value bsoncxx::v_noabi::builder::basic::make_document<std::tuple<char const (&) [5], char const (&) [17]>, std::tuple<char const (&) [12], long&&>, std::tuple<char const (&) [16], long&&>, std::tuple<char const (&) [18], double&&>, std::tuple<char const (&) [14], double&&>, std::tuple<char const (&) [13], double&&>, std::tuple<char const (&) [22], double&&> >(std::tuple<char const (&) [5], char const (&) [17]>&&, std::tuple<char const (&) [12], long&&>&&, std::tuple<char const (&) [16], long&&>&&, std::tuple<char const (&) [18], double&&>&&, std::tuple<char const (&) [14], double&&>&&, std::tuple<char const (&) [13], double&&>&&, std::tuple<char const (&) [22], double&&>&&)
  0.00      1.13     0.00      504     0.00     0.00  bsoncxx::v_noabi::document::value bsoncxx::v_noabi::builder::basic::make_document<std::tuple<char const (&) [5], char const (&) [17]>, std::tuple<char const (&) [12], long&&>, std::tuple<char const (&) [21], long&&>, std::tuple<char const (&) [21], long&&>, std::tuple<char const (&) [32], double&&>, std::tuple<char const (&) [27], long&&> >(std::tuple<char const (&) [5], char const (&) [17]>&&, std::tuple<char const (&) [12], long&&>&&, std::tuple<char const (&) [21], long&&>&&, std::tuple<char const (&) [21], long&&>&&, std::tuple<char const (&) [32], double&&>&&, std::tuple<char const (&) [27], long&&>&&)
  0.00      1.13     0.00      504     0.00     0.00  bsoncxx::v_noabi::document::value bsoncxx::v_noabi::builder::basic::make_document<std::tuple<char const (&) [5], char const (&) [17]>, std::tuple<char const (&) [12], long&&>, std::tuple<char const (&) [26], long&&>, std::tuple<char const (&) [21], long&&>, std::tuple<char const (&) [21], long&&> >(std::tuple<char const (&) [5], char const (&) [17]>&&, std::tuple<char const (&) [12], long&&>&&, std::tuple<char const (&) [26], long&&>&&, std::tuple<char const (&) [21], long&&>&&, std::tuple<char const (&) [21], long&&>&&)
  0.00      1.13     0.00      504     0.00     0.00  NeuraTile::interval_metrics()
  0.00      1.13     0.00      504     0.00     0.00  NeuraTile::self_interval_metrics()
  0.00      1.13     0.00      476     0.00     0.00  void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long const&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long const&)
  0.00      1.13     0.00      440     0.00     0.00  std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::operator[](int&&)
  0.00      1.13     0.00      348     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      1.13     0.00      276     0.00     0.00  GlobalCounters::is_router(int)
  0.00      1.13     0.00      266     0.00     0.00  NeuraRouter::get_in_port_ref(int)
  0.00      1.13     0.00      266     0.00     0.00  NeuraRouter::get_vertex_name[abi:cxx11]()
  0.00      1.13     0.00      266     0.00     0.00  NeuraRouter::get_out_port_ref(int)
  0.00      1.13     0.00      266     0.00     0.00  NeuraRouter::get_uid()
  0.00      1.13     0.00      264     0.00     0.00  void std::vector<boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> >, std::allocator<boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> > > >::_M_realloc_insert<boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> > >(__gnu_cxx::__normal_iterator<boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> >*, std::vector<boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> >, std::allocator<boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> > > > >, boost::detail::stored_edge_property<unsigned long, boost::property<boost::edge_weight_t, int, boost::no_property> >&&)
  0.00      1.13     0.00      220     0.00     0.00  GlobalCounters::generate_conn_id()
  0.00      1.13     0.00      220     0.00     0.00  GlobalCounters::add_edge_to_arch_graph(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, int)
  0.00      1.13     0.00      220     0.00     0.00  Conn::smart_stats()
  0.00      1.13     0.00      220     0.00     0.00  Conn::sanity_check()
  0.00      1.13     0.00      220     0.00     0.00  Conn::post_sim_metrics()
  0.00      1.13     0.00      220     0.00     0.00  Conn::measure_max_buffer_sizes()
  0.00      1.13     0.00      220     0.00     0.00  Conn::Conn(GlobalCounters*)
  0.00      1.13     0.00      220     0.00     0.00  Conn::~Conn()
  0.00      1.13     0.00      220     0.00     0.00  bsoncxx::v_noabi::document::value bsoncxx::v_noabi::builder::basic::make_document<std::tuple<char const (&) [5], char const (&) [17]>, std::tuple<char const (&) [3], long&&>, std::tuple<char const (&) [16], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>, std::tuple<char const (&) [12], long&&>, std::tuple<char const (&) [12], long&&> >(std::tuple<char const (&) [5], char const (&) [17]>&&, std::tuple<char const (&) [3], long&&>&&, std::tuple<char const (&) [16], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>&&, std::tuple<char const (&) [12], long&&>&&, std::tuple<char const (&) [12], long&&>&&)
  0.00      1.13     0.00      220     0.00     2.19  NeuraTile::connect_units(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
  0.00      1.13     0.00      220     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...) [clone .constprop.58]
  0.00      1.13     0.00      220     0.00     0.00  void std::vector<Conn*, std::allocator<Conn*> >::emplace_back<Conn*>(Conn*&&)
  0.00      1.13     0.00      160     0.00     0.00  std::_Deque_base<InstX*, std::allocator<InstX*> >::_M_initialize_map(unsigned long) [clone .constprop.119]
  0.00      1.13     0.00      146     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.00      1.13     0.00      137     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, HashPad*>, std::_Select1st<std::pair<long long const, HashPad*> >, std::less<long long>, std::allocator<std::pair<long long const, HashPad*> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, HashPad*> >*)
  0.00      1.13     0.00      128     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...) [clone .constprop.130]
  0.00      1.13     0.00      128     0.00     0.00  std::_Deque_base<InstX*, std::allocator<InstX*> >::_M_initialize_map(unsigned long) [clone .constprop.171]
  0.00      1.13     0.00      128     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [clone .constprop.113]
